Location,Region Name,Zone Name,lat,lng,Number of staff,Number of Doctors,Percentage of underweight Children,Proportion of children 6-59 months with severe acute malnutrition,Proportion of HHs using latrine,Malaria rate,Proportion of  households covered with mosquito bed nets(LLIN),Proportion of functional 1 to 5 networks,Health budget utilization,Essential drugs availability,Integrated Supportive supervision,Reporting completeness
melka bello,oromiya,east hararge,8.90673744393,41.3457985099,106.0,0.0,23674.9146423,1565.13917923,19360.4899902,0.147090488434,749.162506103,14714.2287025,200.0,532.0,6008.33332825,6166.66667175
melkajebdu,dire dawa,dire dawa,9.618889,41.784167,71.0,0.0,1994.4316802,463.636021435,11637.6217346,0.491129670382,555.643859863,10910.8464584,87.9380493164,292.0,3300.00001526,2348.2142868
melo koza,snnpr,gamo gofa,6.51470731731,36.6751730905,169.0,0.0,72.2658674717,66.1159837991,648.366249084,1.11620153522,31.2403632402,16149.8766174,4018.44074249,1039.5,749.169822693,2245.42538452
menesibu,oromiya,west wollega,9.74034679134,35.0071018598,198.0,0.0,1174.42094558,458.011098504,33472.8730469,38.2171806946,2700.0,89824.2861328,100.0,1437.0,5304.30110931,7791.9230957
menet goldia,snnpr,bench maji,6.78542639378,35.8773990801,30.0,0.0,133.679495454,50.9530754983,49133.5764771,1.42461910248,3182.66564941,2002.72761536,120.596675873,1039.5,1410.89201355,2515.77629089
menet shasha,snnpr,bench maji,6.48597464845,35.7064439165,81.0,0.0,300.392964721,16.7593935952,1323.4864502,1.19926900291,133.723907471,1668.49064636,200.0,1039.5,629.502639771,2004.84442902
menge,benishangul-gumuz,benishangul-gumuz,10.3233838117,34.8583317062,106.0,0.0,5505.4181385,4638.72067642,35410.1887207,23.0391312866,1055.92773438,32089.5653992,200.0,424.0,3549.99990845,4624.19911194
mengesh,gambella,gambella,7.42764686554,35.0843895414,50.0,0.0,2238.48529077,708.638938725,15038.796875,7.82654226685,104.697494507,6708.85614777,200.0,451.0,499.999988556,3938.33331299
menz keyamidir,amhara,north shoa,10.1797631988,39.3675906798,65.0,0.0,2005.30744529,1218.38223648,16267.9185791,2.17333333206,262.369049072,16863.2803755,120.662452698,890.0,10278.333313,8580.0
menzlalomidir,amhara,north shoa,10.1253694334,39.5097859599,96.0,0.0,1307.18100357,2945.2845366,5198.04406738,0.7,0.0,4811.42787933,281.832305908,946.0,4658.33331299,6599.99996948
menzmamamidir,amhara,north shoa,10.103235169,39.6450300373,154.0,0.0,2138.86763,4088.00484133,24217.0625,0.486666656494,0.0,23688.0089111,194.289825439,964.0,10668.333252,9075.0
